time_utc,CE_ma_cm,WC_ma_cm,WE_ma_cm,Pn,Pe,Pw,dP_NE,dP_NW,dP_EW,eq_count_e,eq_count_w,eq_e_30d,eq_w_30d
2024-01-02 19:30:00+00:00,164209.0537497809,176561.6771209751,326017.35361017875,0.5337225573852363,0.5605217218074663,0.5390489545913176,-0.02679916442222996,-0.005326397206081301,0.021472767216148658,0,0,0.0,0.0
2024-01-02 23:30:00+00:00,164209.03597480338,176561.68525078814,326017.34598606813,0.5323529130454462,0.5591155157707095,0.5376583390744148,-0.026762602725263318,-0.005305426028968663,0.021457176696294655,0,0,0.0,0.0
2024-01-03 07:30:00+00:00,164209.04840538284,176561.7878061666,326017.39358672313,0.5295946690575701,0.5562825425661633,0.5348570795021789,-0.02668787350859314,-0.005262410444608734,0.021425463063984407,0,0,0.0,0.0
2024-01-03 11:30:00+00:00,164209.08037846198,176561.6966277094,326017.5009098806,0.5281880234715193,0.554841578906355,0.5334229407582287,-0.02665355543483572,-0.0052349172867094396,0.02141863814812628,0,0,0.0,0.0
2024-01-03 15:30:00+00:00,164209.075782548,176561.737528988,326017.6263614218,0.5266719443202983,0.5532854912527796,0.5318830572060348,-0.026613546932481302,-0.005211112885736502,0.0214024340467448,0,0,0.0,0.0
2024-01-03 19:30:00+00:00,164209.0845082975,176561.8128064883,326017.8591733239,0.5251142375307867,0.5516811465654059,0.5303035499656916,-0.026566909034619224,-0.005189312434904947,0.021377596599714277,0,0,0.0,0.0
2024-01-03 23:30:00+00:00,164209.08123371057,176561.8182304489,326017.7224415007,0.5235986922313689,0.5501114222185126,0.5287535247404678,-0.026512729987143713,-0.005154832509098872,0.02135789747804484,0,0,0.0,0.0
2024-01-04 03:30:00+00:00,164209.0928430071,176561.8757735401,326017.7591445805,0.522085949456442,0.5485438090658036,0.5272107097274583,-0.026457859609361534,-0.005124760271016271,0.021333099338345263,0,0,0.0,0.0
2024-01-04 07:30:00+00:00,164209.091268007,176561.97845637138,326017.8028989779,0.5205919918277577,0.5469914977928326,0.5256646999413734,-0.0263995059650749,-0.005072708113615709,0.02132679785145919,0,0,0.0,0.0
2024-01-04 11:30:00+00:00,164209.07599173285,176561.9548873707,326017.9438505918,0.5190850899033704,0.5454234109113992,0.5241062518088586,-0.026338321008028798,-0.005021161905488181,0.021317159102540617,0,0,0.0,0.0
2024-01-04 15:30:00+00:00,164209.0982335659,176561.91021271868,326018.07647798455,0.5174866235840314,0.5437681695255336,0.5224502913169219,-0.026281545941502227,-0.0049636677328904755,0.02131787820861175,0,0,0.0,0.0
2024-01-04 19:30:00+00:00,164209.13012354358,176561.95285685136,326018.1771609753,0.5158324399414522,0.5420710173445349,0.5207300179739596,-0.026238577403082664,-0.004897578032507344,0.02134099937057532,0,0,0.0,0.0
2024-01-04 23:30:00+00:00,164209.13620721194,176561.93112912218,326018.1766064532,0.5142678835101279,0.5404554014034583,0.5190889524764044,-0.026187517893330403,-0.004821068966276543,0.02136644892705386,0,0,0.0,0.0
