Record Time,Area (m^2),Area MA (m^2)
2024-04-26 15:30:00,807587.529545313,807725.3370868162
2024-04-26 19:30:00,807619.1738075903,807722.1570949996
2024-04-27 19:30:00,807864.4376581722,807722.4247886351
2024-04-27 23:30:00,807973.1271571047,807716.7493797909
2024-04-28 07:30:00,807308.8032036014,807714.3205531742
2024-04-28 11:30:00,807422.8312895049,807710.3275495623
2024-04-28 15:30:00,807701.1065008495,807709.7716416332
2024-04-29 03:30:00,807412.2413568944,807707.9479978979
2024-04-29 11:30:00,808064.3324314918,807712.8977816977
2024-05-01 03:30:00,807431.7218801037,807708.8117693199
2024-05-02 07:30:00,806934.3239071388,807686.7763148661
2024-05-03 11:30:00,807547.5178460759,807701.3372817646
2024-05-03 23:30:00,807729.8363634354,807708.2843372903
2024-05-04 07:30:00,807440.1146353249,807703.7390881043
2024-05-04 23:30:00,807809.2669644607,807711.2569701566
2024-05-05 03:30:00,807493.7707246434,807707.6321993979
2024-05-05 15:30:00,807732.2292705072,807708.0354300719
2024-05-06 03:30:00,807624.5897150069,807706.6895314418
2024-05-06 19:30:00,807707.9650213916,807706.709777314
2024-05-07 11:30:00,807574.6775982723,807704.6467745166
2024-05-07 19:30:00,807563.8200775584,807702.4802099479
2024-05-08 15:30:00,807645.0319274483,807703.0810832909
2024-05-09 07:30:00,807757.9897780379,807701.5704262425
2024-05-09 11:30:00,808058.5869911829,807706.9797681356
2024-05-09 19:30:00,808048.4212523829,807712.2977589795
2024-05-09 23:30:00,807732.771853022,807712.6079725256
2024-05-10 15:30:00,807541.4726152953,807708.9935278235
2024-05-10 23:30:00,807976.6522771984,807709.5013814436
2024-05-11 03:30:00,807250.1603163325,807702.5416683358
2024-05-11 07:30:00,807558.3626182805,807700.3897422155
2024-05-11 11:30:00,807832.8677124181,807702.3379476598
2024-05-11 15:30:00,807848.3713724397,807708.6122467731
2024-05-11 23:30:00,808237.4697955679,807716.2768489295
2024-05-12 15:30:00,807440.6736142375,807704.5487296241
2024-05-12 19:30:00,807172.7503345396,807697.8159879418
2024-05-13 07:30:00,807814.2176199668,807700.9551815706
2024-05-13 23:30:00,807818.1099734453,807696.505280494
2024-05-14 03:30:00,807397.0088032901,807691.9674550818
2024-05-14 15:30:00,807613.4662738731,807690.7957956607
2024-05-15 15:30:00,807240.2728937406,807684.0826993366
2024-05-15 23:30:00,807614.6029833641,807685.8243012141
2024-05-16 11:30:00,807752.5004196849,807685.400958822
2024-05-16 15:30:00,807763.7150646513,807686.5875361831
2024-05-17 15:30:00,807535.4364837061,807682.0042964462
2024-05-17 23:30:00,807718.861416797,807679.8255235446
2024-05-18 03:30:00,807457.6215771093,807676.5090467321
2024-05-18 11:30:00,807853.872698081,807679.1173357225
2024-05-18 19:30:00,807556.5570680939,807672.9315103637
2024-05-19 03:30:00,807523.8269197759,807670.1278545782
2024-05-19 11:30:00,807293.3197850377,807664.2083651262
2024-05-19 23:30:00,807055.0678829814,807655.2504168593
2024-05-20 11:30:00,807662.6331488312,807655.3574129749
2024-05-20 19:30:00,807826.574110807,807657.8033658011
2024-05-20 23:30:00,807888.5994609393,807661.0540150283
2024-05-21 23:30:00,807431.6620271432,807646.0906016971
2024-05-22 07:30:00,807563.6334231967,807644.8955701247
2024-05-22 15:30:00,807436.9356589258,807634.5760347503
2024-05-22 23:30:00,807677.7004095262,807631.1136001343
2024-05-23 03:30:00,807907.1313277927,807635.1726843646
2024-05-23 15:30:00,807599.912415462,807634.5072701022
2024-05-23 23:30:00,807407.3334714617,807624.7855530084
